decimalLongitude,decimalLatitude,species
12.81305,0.482866,Hypsignathus monstrosus
-1.857376,7.660551,Hypsignathus monstrosus
-0.159275,5.999895,Hypsignathus monstrosus
-4.802,5.249,Hypsignathus monstrosus
-7.293738,5.805769,Hypsignathus monstrosus
2.369606,6.363361,Hypsignathus monstrosus
11.9,2.7833,Hypsignathus monstrosus
-4.133462,5.340867,Hypsignathus monstrosus
21.347797,4.804126,Hypsignathus monstrosus
21.27,4.87,Hypsignathus monstrosus
11.966667,2.983333,Hypsignathus monstrosus
10.45,3.366667,Hypsignathus monstrosus
8.74014,3.751025,Hypsignathus monstrosus
8.7481,3.6198,Hypsignathus monstrosus
27.54406,1.318624,Hypsignathus monstrosus
-0.98333,5.91667,Hypsignathus monstrosus
14.36667,-11.12121,Hypsignathus monstrosus
15.18333,-8.31667,Hypsignathus monstrosus
19.757744,1.243061,Hypsignathus monstrosus
-12.869243,9.54454,Hypsignathus monstrosus
24.05876,3.32802,Hypsignathus monstrosus
20.52361,-0.71807,Hypsignathus monstrosus
26.883913,3.131885,Hypsignathus monstrosus
0.365402,6.457152,Hypsignathus monstrosus
30.355729,0.909291,Hypsignathus monstrosus
-5.0127,6.2097,Hypsignathus monstrosus
-7.246745,5.392467,Hypsignathus monstrosus
-2.650572,5.213298,Hypsignathus monstrosus
-2.530712,5.308612,Hypsignathus monstrosus
24.504613,0.763752,Hypsignathus monstrosus
31.719324,1.918263,Hypsignathus monstrosus
30.404172,0.389874,Hypsignathus monstrosus
12.963791,-0.844012,Hypsignathus monstrosus
16.258178,2.922957,Hypsignathus monstrosus
-10.837993,7.095823,Hypsignathus monstrosus
-11.210072,7.032593,Hypsignathus monstrosus
11.389583,4.042967,Hypsignathus monstrosus
29.361689,3.033327,Hypsignathus monstrosus
28.733821,-2.322778,Hypsignathus monstrosus
27.552069,-1.217556,Hypsignathus monstrosus
11.5103,3.8891,Hypsignathus monstrosus
14.069659,-2.114651,Hypsignathus monstrosus
9.846401,0.86651,Hypsignathus monstrosus
15.512086,-3.209373,Hypsignathus monstrosus
-16.147327,13.207359,Hypsignathus monstrosus
