"","Scenario","Boyce","Enrichment","SuitabilityVersion"
"1","Habitat",0.832,2.15789087389943,"2026"
"2","Habitat x Bushmeat",0.844,6.68341575550499,"2026"
"3","Habitat x Mining",0.852,5.70023783477657,"2026"
"4","Habitat x Conflict",0.726,2.65805706312371,"2026"
"5","Habitat x Built",0.974,4.15478873004955,"2026"
"6","Habitat x Forest Loss",0.546,5.25782093351898,"2026"
"7","Habitat",0.702,2.59276208039392,"2016"
"8","Habitat x Forest Loss",0.711,5.9439235214249,"2016"
"9","Habitat x Mining",0.824,6.95601965652633,"2016"
"10","Habitat x Built",0.988,5.09200252318208,"2016"
"11","Habitat x Bushmeat",0.798,7.8212246668465,"2016"
"12","Habitat x Conflict",0.651,2.92010436500914,"2016"
